name,company,website_visits,pages_viewed,time_spent,email_opens,demo_requested,converted
Barbara Robinson,Roberson Ltd,42,16,80,9,0,0
Danny Vega,Lee-Jackson,39,4,95,2,1,0
Darryl Marshall,Anderson-Krause,40,16,347,8,1,1
Nicole Jones,Smith-Copeland,31,19,112,1,0,0
Cameron Hall,Santana-Anderson,1,11,214,9,0,1
Reginald Lang,Ryan LLC,31,14,427,6,0,1
Amy Blankenship,Garcia-Spence,44,4,145,7,0,0
Madison Johnson,Smith PLC,34,14,286,1,0,1
Chelsea Jones,"Young, Williams and Johnson",23,15,15,2,0,0
Mary Walker,Martinez-Wyatt,43,6,303,7,0,1
Kristin Willis,"Jennings, Robinson and Anderson",10,15,188,4,1,1
Robert Townsend,Dawson-Baker,5,13,10,5,0,0
Francisco Riggs,Smith PLC,46,11,217,6,1,1
Ethan Johnson,Gardner-Martinez,27,4,43,6,0,0
Lori Zavala,"Mason, Merritt and Williams",26,2,50,1,1,0
Jessica Delgado,"Lewis, Hunter and Smith",15,7,21,2,0,0
Erik Obrien,Rios-Bryant,40,16,487,4,0,1
Ana Ramirez,White PLC,22,15,451,3,0,1
Mark Porter,"Cox, Cross and Shah",46,1,171,6,1,1
Kevin Hall,"Garrison, Lopez and Elliott",34,4,64,1,0,0
Tamara Murray,Sullivan-Smith,12,7,360,2,0,1
Jordan Patterson,Hill PLC,5,1,26,0,0,0
Gary Bird,Jones-Shaw,38,11,129,0,0,0
Shelly Vargas,Shannon Group,48,12,474,3,0,1
Joshua Lee,Morrow-Mullins,11,12,187,7,0,1
Randy Rivera,Beasley-Ramos,33,10,409,2,0,1
Omar Craig,"Vaughn, Adams and Henderson",3,5,70,9,0,0
Gerald Pierce,Mendoza and Sons,22,15,357,6,0,1
Matthew Oconnell,Ortiz and Sons,9,7,27,1,0,0
Cody Richardson,"Marshall, Jensen and Woods",33,12,319,5,0,1
David Hernandez,"Hayes, Grimes and Mendez",13,3,278,2,0,1
Ashley Johnson,"Brown, Singleton and Walsh",30,8,302,0,0,1
Michael Delgado,"Medina, Jacobs and West",10,16,428,3,1,1
Keith Travis,"Aguilar, Hill and Mckay",6,11,81,2,0,0
Alexandria Foster,Gordon LLC,24,6,337,2,0,1
Rachel Miles,"Meyer, Harrison and Carter",47,19,393,5,0,1
Traci Simpson,Hart-Rasmussen,2,13,168,9,1,1
Yolanda Phillips,Hudson Ltd,22,6,178,8,0,1
Sarah Willis,Hall-Murray,26,17,165,9,0,1
Eric Spencer,Morton-Pearson,11,19,459,1,0,1
James Chandler,Jordan-Norton,19,7,318,0,0,1
Rose Andrews,Burton and Sons,12,5,27,1,0,0
Debra Johnson,Thomas-Everett,26,8,317,9,0,1
Christopher Robertson,"Campbell, Jacobson and Murphy",29,18,172,4,0,1
Melissa Barnes,"Fitzpatrick, Bradley and Mcdonald",28,6,408,6,0,1
Nichole Barron,Wolfe-Moore,9,13,355,2,1,1
Natalie Vega,Morris Inc,38,11,80,4,0,0
Sarah Potter MD,Maldonado Inc,30,8,334,2,0,1
Juan Diaz,Davis-Allen,7,5,497,1,0,1
Steven Sanchez,"Jenkins, Miles and Jensen",3,18,323,0,1,1
Fred Evans,Bowen Inc,26,14,145,9,0,0
Marcus Woods,Anderson LLC,25,5,54,0,0,0
Rebecca Crawford,"Miller, Hunt and Vargas",35,11,315,4,1,1
Walter Carter,Powell-Valdez,10,13,98,9,0,0
Tammy Pena,"Martin, Shields and Allen",14,18,267,2,0,1
Laura Brown,Stephens Inc,24,19,480,5,0,1
Phillip Velasquez,Craig-Perez,46,7,496,2,1,1
Michael Lopez,"Durham, Keith and Moore",6,5,254,5,0,1
Jessica Vazquez,"Brown, Morales and Johnson",34,12,372,7,0,1
Brandon Ramsey,"Holland, Gay and Lopez",45,17,450,9,1,1
Courtney Brown,"James, Powell and Yu",2,10,131,4,0,0
Amy Parks,Campbell Ltd,44,18,208,4,0,1
Michael Stewart,"Morrison, Cooley and Gonzalez",41,15,314,0,0,1
Robert Schaefer,"Webster, Patton and Graham",21,14,319,5,0,1
Joel Ashley,"Hernandez, Davenport and Valenzuela",21,17,141,0,1,1
Michael Medina,Tate Inc,43,14,451,6,1,1
Steven Rivera,Brown PLC,22,12,202,3,1,1
Theodore Davis,"Williams, Moore and Duncan",28,19,170,6,0,1
Craig Ford,Hernandez and Sons,2,13,164,5,0,0
Bruce Nielsen,Miller-Hill,45,10,417,6,0,1
Joel Ingram,"Williams, Diaz and Franklin",35,3,325,5,1,1
Joy Mitchell,Chen Inc,45,7,451,8,0,1
Brittany Cooper,Dean LLC,37,11,143,5,1,1
Debra Walker,Snow-Rivers,26,14,285,7,0,1
Theodore Warner,Rivera Inc,16,10,19,4,0,0
Crystal Hoffman,Stephens-Moore,14,17,467,8,0,1
Angela Daniel,Bryan Inc,33,12,323,4,0,1
Mr. Kevin Rivas,Johnson-Johnson,5,12,173,1,0,0
Emily Carpenter,Terry Inc,19,16,480,8,1,1
Alan Eaton,"Johnson, Young and Griffith",18,8,39,0,0,0
Caitlin Knight DVM,Aguilar Ltd,35,16,360,2,0,1
Kathleen Hawkins,"Gibbs, Brown and Perry",48,16,400,8,0,1
Hannah Cruz,Gutierrez PLC,44,5,298,1,0,1
Linda Hill,Patterson-Hill,22,16,161,5,1,1
Eric Rose,Jones-Bell,20,8,283,7,0,1
Angela Levine,Vance-White,26,18,151,3,1,1
Victor Fernandez,Maldonado Inc,46,19,221,2,1,1
Margaret Mitchell,Bass PLC,36,9,132,1,0,0
Sarah King,Banks Ltd,11,14,127,1,0,0
Jennifer Miller,"Martin, Collins and Walton",15,5,467,0,0,1
Selena Garcia,"Robinson, Sanchez and Chen",21,12,272,8,0,1
Anthony Adams,"May, Vazquez and Brennan",9,4,195,0,0,1
Susan Preston,Stewart-Mcbride,33,12,415,5,0,1
Sandra Hernandez,Foster-May,41,3,406,4,1,1
Joseph Richardson,Sanchez-Madden,31,17,131,3,0,0
Lindsey Mccann,"Jackson, Wilson and Smith",34,5,490,7,0,1
Rachel Smith,"Hansen, Gomez and Moore",22,15,90,4,0,0
Patricia Bray,"Hernandez, Woods and Turner",34,1,144,6,0,0
Jack Harvey,Brown-Sanchez,34,10,382,8,0,1
Brianna Moreno,Hughes LLC,2,16,203,3,0,1
Michelle Jordan,Oliver-Hicks,33,7,341,9,1,1
Stephanie Simon,"Torres, Sherman and Weber",43,11,270,8,0,1
Jennifer Vasquez,Miranda Ltd,4,7,279,9,0,1
Angela Peters,"Molina, Anderson and Everett",19,13,361,0,0,1
William Bailey,Jefferson-Howard,31,6,187,8,0,1
Lindsey Cooper,Guerrero-Bryan,26,17,191,4,0,1
Jasmine Murillo DDS,Washington-Miller,19,8,296,1,0,1
Brittany Hernandez,Williams-Martinez,45,16,373,8,0,1
Adam Lee,Reed Group,45,5,203,4,0,1
Robert Davis,"Savage, Smith and Johnson",23,1,275,0,0,1
Jackson Mcconnell,Vega and Sons,49,3,464,7,0,1
Christopher Gonzalez,"Stewart, George and Mccoy",21,6,247,3,0,1
Karen Esparza,Gonzalez LLC,31,10,62,1,0,0
Melissa Brown,"King, Cooley and Henderson",9,15,363,3,0,1
Kim Dennis,"Allen, Warner and Curry",7,14,316,2,1,1
April Taylor,"Patterson, Fleming and Tanner",11,2,77,8,1,0
Chad Johnson,"Cummings, White and Miller",6,12,338,1,0,1
Ariel Shepard,Figueroa and Sons,19,2,420,8,0,1
Allison Andrade,"Joseph, Case and Smith",15,5,104,6,0,0
Chelsey Chen,Hall-Fisher,4,2,428,5,0,1
Teresa Lyons,"Martin, Ford and Garcia",33,9,194,0,0,1
Jon Martin,Thompson-Sullivan,24,13,185,6,0,1
Jose Young,Wallace-Anderson,6,17,227,4,0,1
Megan Stewart,Wilson-Salazar,33,15,479,6,0,1
Mrs. Jacqueline Rivera DDS,"Patton, Miller and Cummings",24,9,462,4,0,1
Ana Dawson,Clark-King,23,8,489,2,0,1
Ashley Lee,Lane Inc,37,1,195,7,1,1
Matthew Houston,Lopez PLC,48,6,397,9,1,1
Alan Cole,Potter-Lowe,26,7,275,8,0,1
Wendy Mccann,"Preston, Neal and Trevino",45,16,15,1,0,0
Tyler Wood,"Ramirez, Foster and Vasquez",46,13,291,0,0,1
Kevin Lawson,Pitts-Murray,19,19,152,7,0,0
George Santos,Bishop Ltd,8,19,249,4,0,1
Brittany Black,"Martin, Foster and Collins",12,7,402,5,1,1
Catherine Stewart,Rios-Fowler,10,12,496,0,0,1
Lee Allen,Lee-Walters,48,19,318,3,0,1
Erica Woods,"Morales, Williams and Miller",3,17,42,6,0,0
Richard Garza,Floyd PLC,46,2,384,4,1,1
Ryan Sharp,Hickman Ltd,19,2,166,2,0,0
Melissa Gardner,Smith-Collins,30,13,138,4,1,1
Pamela Leonard,Cohen and Sons,24,13,425,7,0,1
Michael Lee,Williamson LLC,38,13,475,5,0,1
Sandra Bennett,"Williams, Tucker and Richards",48,6,381,1,0,1
Vanessa Green,"Hale, Kennedy and Davis",39,13,155,5,0,1
Jordan Myers,Walker and Sons,32,3,173,4,0,1
Tiffany Williams,Jefferson Inc,43,10,239,4,0,1
William Goodman,Anderson-Johnson,10,16,210,3,0,1
Sandra Lang,"Jones, Jones and Bennett",31,5,17,7,0,0
Jon Stout,"Hicks, Hawkins and Randolph",42,1,273,1,0,1
Alexis Cline,Oliver and Sons,7,2,11,3,1,0
Calvin Figueroa,"Howell, Herrera and Carson",38,14,398,5,0,1
Monica Kirk,"Wright, Carpenter and Villarreal",47,1,484,4,1,1
Erica White,"Gray, Maldonado and Maddox",31,13,334,1,1,1
Thomas Moore,"White, Hudson and Coleman",10,13,165,2,0,0
Debra Bennett,"Foster, Reese and Smith",29,14,467,9,0,1
Phillip Martin,"Barr, Howard and Long",35,3,267,0,1,1
Katrina Barnett,Howard Group,26,18,211,6,0,1
Lisa Gonzalez,"Baker, Holland and Cox",17,9,118,8,1,0
Christopher Swanson,Bradley LLC,43,13,248,4,0,1
Marvin Burnett,White PLC,28,16,85,9,0,0
Alison Simpson,Daniel LLC,23,15,167,2,0,1
Alexandra Nelson,Leon and Sons,10,19,151,7,0,0
Dawn Olson,Cooper-Brown,18,4,486,8,0,1
Allen Ball,Olson Inc,40,13,96,7,1,0
David Werner,Walls-Pham,5,4,199,7,0,1
Lauren Smith,"Dawson, Lee and Lopez",34,8,76,4,1,0
Michael Wood,Johnson Ltd,32,16,10,4,0,0
Erica Carson,"Blair, Grimes and Wang",26,2,468,4,0,1
John Jackson,Taylor-Boyd,44,1,223,8,1,1
Kevin Hodge,Vaughn-Salazar,43,8,75,8,0,0
Teresa Noble,Allen-Wells,6,7,101,7,0,0
Alicia Fuentes,"Burke, Moon and Pittman",22,6,368,0,0,1
Michelle Parks,Kelly-Allen,28,8,96,0,0,0
Cynthia Collins,Reeves-Smith,44,3,477,0,1,1
Kimberly Jenkins,"Garcia, Hamilton and Cooke",45,10,376,3,0,1
Clifford Perez,Walters LLC,48,13,153,0,0,1
Amanda Horn,Padilla LLC,34,16,403,9,0,1
Michelle Davis,Kelly-Sparks,30,17,137,1,0,0
Cynthia Taylor,"Fritz, James and Benson",10,16,179,9,1,1
Crystal Hatfield,Wheeler-Taylor,35,1,301,6,1,1
Nicole Brown,King Group,18,2,316,2,0,1
Donald Grant,Blake LLC,1,18,244,7,0,1
Andrew Rodriguez,Cantrell-Russell,9,6,49,4,0,0
Jeffrey Butler,"Parker, Castillo and Marshall",19,7,323,3,0,1
Betty Baldwin,Foster PLC,24,11,338,2,0,1
Nancy Carpenter,"Summers, Melendez and Perez",25,9,409,7,0,1
Sharon Adkins,Dunlap Group,34,6,196,3,0,1
Jeffrey Estrada,"Fox, Santos and Murray",34,2,481,0,0,1
Donald Flores,Walters Inc,21,7,446,4,0,1
Stephanie Underwood,Schmidt LLC,6,18,426,0,0,1
Rachel Ruiz,Sanchez Ltd,15,2,497,8,0,1
Lori Johnson,"Cannon, Crawford and Frederick",28,7,278,3,0,1
Michael Cortez,"Foster, Bauer and Johnson",10,14,80,4,0,0
Sophia Smith,"Mccarthy, Jones and Dunn",11,15,114,7,0,0
Mr. Douglas Weaver,Burnett-Cook,36,7,222,8,0,1
Kayla Smith,Haas and Sons,15,1,285,1,0,1
Lisa Cook,Campbell-West,25,10,424,8,0,1
Mr. Joshua Hampton,Moore-Simmons,30,4,224,5,0,1
Andrew Hill,Moore-Lloyd,43,1,150,7,1,1
Tammy Floyd,Mullins-Cunningham,43,6,459,1,0,1
Yesenia Smith,Simpson-Bailey,13,6,270,4,0,1
Benjamin Moore,Morales-Herrera,11,16,290,9,0,1
Maria Roberts,"Barrett, Wilson and Chapman",36,15,305,8,0,1
Patrick Adams,Clarke LLC,2,13,374,0,0,1
David Edwards,"Aguilar, Gonzales and Greer",38,14,202,7,0,1
Daniel Riggs,Mccullough-Guerrero,3,13,56,7,0,0
Katrina Wright,"Hansen, Lee and Rivera",30,11,232,1,0,1
Denise Wilson,"Gibson, Brock and Johnson",34,2,390,3,1,1
Kelly Shelton,"Sanchez, Young and Bell",47,15,86,1,0,0
Kelly Miller,"Herrera, Spence and Singh",24,4,441,5,0,1
Joseph Haynes,Christian Inc,22,1,111,0,0,0
Colton Hall,Ramirez-Hill,15,17,320,2,0,1
Miranda Ward,"Wright, Garcia and Martinez",17,9,397,2,0,1
Jamie Ferguson,Anderson LLC,10,16,24,1,0,0
Derek Murillo,Perez Ltd,4,18,191,0,1,1
Rachel Copeland,"Hart, Nelson and Fernandez",41,11,172,2,0,1
Chelsea Gonzalez,White-Brown,36,4,194,6,0,1
Kenneth Blair,"Murillo, Hughes and Guzman",18,11,25,2,0,0
Dr. Karen Turner,Gonzales PLC,3,6,115,9,0,0
Sandra Lambert,Morgan Inc,2,19,70,1,0,0
Amy Collins,"Hoffman, Rodriguez and Castillo",1,8,433,6,0,1
Julie Todd,"Johnson, Rich and Gregory",25,9,431,3,0,1
Natalie Carlson,Carpenter Group,36,13,354,4,0,1
Kelly Ward,"Rice, Johnson and Miller",28,15,462,8,0,1
Emma King,"Smith, Hale and Lloyd",13,8,482,9,0,1
Jeffery Booker,"Mcguire, Thompson and Mason",46,8,183,7,0,1
Amy Clements,Roth-Cruz,40,3,265,5,1,1
Jeffrey Wright,Thomas Inc,25,18,112,0,1,1
Angie Morris,"Lucas, Parker and Campbell",22,7,119,0,1,0
David Henson,"Cardenas, Ramirez and Massey",49,5,358,3,0,1
Kevin Valentine,"Erickson, Thomas and Perez",14,13,65,2,0,0
Stephanie Townsend,Smith-Nixon,31,1,55,5,0,0
Darius Stephens,"Jones, Dunn and Simpson",18,14,46,5,0,0
Janet Marsh,Schwartz Group,24,3,178,0,0,1
Christine Campos,Daniels Group,29,12,132,4,0,0
Jerry Rogers,Johnson-Robinson,22,17,151,2,0,0
Amber Stevens,Flowers and Sons,33,8,468,4,1,1
Gregory Fox,"Wilkinson, Nelson and Jones",42,19,376,7,0,1
Anthony Simmons,Morales Ltd,32,3,350,8,0,1
Michael Le,"Patrick, Nguyen and Vaughan",45,14,231,2,0,1
Chelsea Steele,Jones LLC,5,18,409,6,0,1
Jeremy Lucas,Deleon LLC,11,6,287,9,0,1
Dawn Brooks,"Trujillo, George and Lopez",10,19,399,1,0,1
Amy Green,Green and Sons,47,9,50,7,0,0
Jodi Walker,"Montes, Marshall and Hart",17,11,441,5,0,1
David Gordon,Brown and Sons,19,2,134,6,0,0
Jacqueline Holland,Owens-Miller,27,16,490,1,0,1
James Bush,Mora-Jenkins,48,11,112,5,0,0
Timothy Allen,"Young, Santos and Gardner",42,8,103,2,0,0
Theodore Scott PhD,"Curry, Stewart and Hawkins",13,4,449,1,0,1
Diane Evans,Snyder-Martin,14,19,218,3,0,1
Meghan Gibbs,"Williams, Miller and King",28,4,44,9,1,0
Paul Yates,Gonzalez-Lee,28,6,166,8,1,1
Diana Buckley,Castillo-Watkins,47,8,206,5,0,1
Timothy Johnston,Ward-Ashley,45,4,24,7,1,0
John Adams,"Garza, Clarke and Jackson",18,12,485,1,0,1
Priscilla Perez,Parker-Moon,15,11,150,6,0,0
Aaron Hill,Wallace-Horne,18,11,152,8,1,1
Barbara Smith,James-Barajas,3,2,266,5,1,1
Jessica Hendricks,"Bailey, Mosley and Griffith",18,12,185,8,0,1
Ashley Brady,Cooper-King,28,1,265,8,0,1
Jacob Russo,Cunningham LLC,35,11,365,0,0,1
David Cowan,"Blackburn, Campbell and Jensen",28,2,94,3,0,0
Gerald Holmes,Blankenship Group,34,17,59,2,0,0
Mark Tucker,Smith LLC,7,7,73,8,0,0
Lisa Figueroa,Rodriguez PLC,42,12,79,6,0,0
Christina Obrien,Wallace-Crane,42,9,469,4,0,1
Jon Hernandez,"Martinez, Maldonado and Benitez",26,2,27,5,0,0
Isaiah Clarke,Cook-Soto,34,7,346,6,0,1
Pamela Cox,Hoffman-Morris,30,17,86,9,0,0
Nicholas Small,"Parker, Lee and Schroeder",27,12,202,8,0,1
Timothy Roberson,"Johnson, Garza and Gonzalez",11,2,411,2,0,1
Jonathan Carroll,Nunez Ltd,40,12,124,7,0,0
Mary Romero,Nolan and Sons,20,19,61,8,0,0
Matthew Reynolds,English Inc,35,8,134,7,1,1
Christopher Perez,"Chambers, Warren and Curry",21,1,480,3,0,1
Joseph Zavala,Kennedy-Clark,36,16,159,6,0,1
Amy Simpson,"Barnes, Smith and Carr",25,12,115,5,0,0
Dr. Victor Barron MD,"Moore, Phelps and Morgan",27,18,259,0,1,1
Antonio Coffey,Blanchard Ltd,13,3,198,7,0,1
Anthony Huber,Palmer-Johnson,33,7,100,6,0,0
Shane Hickman,Yates-Haney,29,12,170,6,0,1
Michael Smith,Salazar-Brown,21,5,312,7,0,1
Phillip Dickerson,"Howard, Rodriguez and Smith",37,7,346,0,0,1
Carly Blackburn,"Gardner, Arellano and Lee",41,15,17,3,0,0
Julie Hill,Campbell Ltd,49,10,355,6,0,1
Eric Johnson,Lee-Jackson,1,3,281,5,0,1
Candace Thompson,"Munoz, Hughes and Harris",41,13,178,8,1,1
Jennifer Allen,Davidson-Price,32,6,83,6,0,0
Nicholas Johnson,Adams Inc,26,4,220,0,0,1
Lisa Ford,"Boyd, Pittman and Jones",27,9,106,8,0,0
Charles Blake,"Campbell, Hardy and Foster",49,8,428,9,0,1
Mrs. Wendy Perez,Thompson PLC,22,9,109,6,0,0
Alexander West,Bennett Inc,23,15,229,9,0,1
Julie Proctor,Stone-Bennett,49,18,462,0,0,1
Robin Woods,Robinson LLC,30,18,314,6,0,1
Lisa Watts,"Anderson, Mejia and Blair",35,11,153,6,0,0
Laura Gomez,Thompson Group,42,12,350,4,0,1
Catherine Powell,Lee and Sons,20,14,290,9,0,1
Mr. Roger Stone,Thomas and Sons,43,17,425,0,0,1
Rebecca Herman,Martin PLC,9,6,322,0,0,1
Mrs. Carol Clements,Kirk-Spencer,47,6,418,4,0,1
Natalie Simmons,Terrell-Mclean,44,17,315,7,1,1
Christopher Gross,Mitchell-Wilcox,6,9,402,4,0,1
Matthew Rivera,Simpson-Phillips,9,14,145,6,0,0
Cheyenne Robinson,Armstrong PLC,15,16,82,7,0,0
Teresa Tyler,Sanders-Baker,46,3,311,3,0,1
William Freeman,"Garcia, Maxwell and Cobb",8,5,17,2,1,0
Nicole Diaz,Clay-Serrano,17,7,14,0,0,0
Alexis Reynolds,Mason Ltd,10,11,426,3,1,1
Grace Jackson,"Franklin, Reyes and Gonzalez",38,7,463,5,1,1
Amber Lopez,Tucker-Estrada,25,6,141,5,1,1
Chase Hernandez,"Dunlap, Morris and Burns",3,12,321,1,0,1
Ashley Tucker DVM,Mitchell PLC,28,4,485,9,0,1
Bryan Robles,Adams-Love,45,11,22,1,0,0
Brian Smith,Hudson Ltd,41,19,212,4,0,1
Robert Garcia,Rodriguez-Watkins,45,10,40,7,0,0
Charles Morris,"Hanson, Dixon and Robertson",33,13,318,0,0,1
Ashley White,Johnson LLC,26,16,32,7,0,0
Kayla Beasley,Myers-Jones,24,1,441,3,0,1
Krystal Daniels,Eaton LLC,42,6,33,3,0,0
Rebecca Jimenez,Dunn-Smith,6,5,430,1,0,1
Alexis Coleman,Rodriguez-Meyer,47,18,170,2,0,1
Stephanie Martin,"Brown, Choi and Flores",3,19,76,7,1,0
Isaiah Taylor,Richardson LLC,39,17,451,3,0,1
Kristin Kerr,Taylor-Jarvis,13,13,274,4,0,1
Carl Pugh,"Barr, Cabrera and Hall",44,7,134,3,1,1
Dawn Fowler,Trujillo-Hill,8,4,402,0,0,1
Leah Turner,"Elliott, Johnson and Hendricks",5,2,117,3,0,0
Andrea Sloan,"Hopkins, Rowland and Miller",46,8,356,7,0,1
Felicia Larson,"Martin, Pena and Greene",10,11,148,1,0,0
Amy Lee,"Banks, Smith and Boyd",28,9,391,0,1,1
Larry Hernandez,Richards-Choi,16,4,244,0,0,1
Brandon Smith,"Larsen, Smith and Woods",22,4,219,3,0,1
Steven Fernandez,Barrett Ltd,31,2,347,1,0,1
Kaitlyn Gibson,Bradley PLC,43,5,53,1,0,0
Virginia Smith,Richardson Inc,16,2,395,2,0,1
Steven Blankenship,"West, Ayala and Lewis",15,19,105,2,0,0
Catherine Blankenship,Richard-Hatfield,12,13,48,7,0,0
Jacob Franklin,Mcbride and Sons,43,13,375,2,0,1
Calvin Schmidt,Thomas PLC,4,1,494,0,0,1
